month,year,average_temp,state_id
1,1950,53.8,AL
1,1950,39.6,AZ
1,1950,45.6,AR
1,1950,39.4,CA
1,1950,25.2,CO
1,1950,32.5,CT
1,1950,42.0,DE
1,1950,64.4,FL
1,1950,53.5,GA
1,1950,20.4,ID
1,1950,33.1,IL
1,1950,35.2,IN
1,1950,21.0,IA
1,1950,31.0,KS
1,1950,41.8,KY
1,1950,57.6,LA
1,1950,20.6,ME
1,1950,41.1,MD
1,1950,31.6,MA
1,1950,23.8,MI
1,1950,5.2,MN
1,1950,54.0,MS
1,1950,35.3,MO
1,1950,6.8,MT
1,1950,21.2,NE
1,1950,28.2,NV
1,1950,24.7,NH
1,1950,37.8,NJ
1,1950,34.8,NM
1,1950,28.4,NY
1,1950,47.7,NC
1,1950,-2.4,ND
1,1950,35.6,OH
1,1950,39.4,OK
1,1950,27.0,OR
1,1950,33.7,PA
1,1950,34.8,RI
1,1950,51.4,SC
1,1950,9.8,SD
1,1950,45.3,TN
1,1950,50.0,TX
1,1950,24.0,UT
1,1950,24.0,VT
1,1950,43.0,VA
1,1950,21.7,WA
1,1950,39.4,WV
1,1950,15.4,WI
1,1950,17.1,WY
2,1950,56.0,AL
2,1950,43.5,AZ
2,1950,46.5,AR
2,1950,41.9,CA
2,1950,27.6,CO
2,1950,29.2,CT
2,1950,40.2,DE
2,1950,64.7,FL
2,1950,55.4,GA
2,1950,21.8,ID
2,1950,30.8,IL
2,1950,33.0,IN
2,1950,18.9,IA
2,1950,33.1,KS
2,1950,41.4,KY
2,1950,59.2,LA
2,1950,14.8,ME
2,1950,39.6,MD
2,1950,27.9,MA
2,1950,20.6,MI
2,1950,4.2,MN
2,1950,55.6,MS
2,1950,34.7,MO
2,1950,10.8,MT
2,1950,22.3,NE
2,1950,31.9,NV
2,1950,20.2,NH
2,1950,35.0,NJ
2,1950,38.8,NM
2,1950,24.5,NY
2,1950,48.5,NC
2,1950,-2.0,ND
2,1950,34.1,OH
2,1950,41.7,OK
2,1950,27.6,OR
2,1950,31.6,PA
2,1950,31.0,RI
2,1950,53.2,SC
2,1950,10.4,SD
2,1950,46.0,TN
2,1950,52.3,TX
2,1950,26.9,UT
2,1950,19.2,VT
2,1950,42.7,VA
2,1950,21.4,WA
2,1950,39.0,WV
2,1950,13.4,WI
2,1950,20.0,WY
3,1950,52.7,AL
3,1950,49.1,AZ
3,1950,47.4,AR
3,1950,47.3,CA
3,1950,32.0,CO
3,1950,28.0,CT
3,1950,37.4,DE
3,1950,63.2,FL
3,1950,52.6,GA
3,1950,28.8,ID
3,1950,32.7,IL
3,1950,32.9,IN
3,1950,25.4,IA
3,1950,38.6,KS
3,1950,40.5,KY
3,1950,57.0,LA
3,1950,16.7,ME
3,1950,37.0,MD
3,1950,26.6,MA
3,1950,21.6,MI
3,1950,14.7,MN
3,1950,53.2,MS
3,1950,37.6,MO
3,1950,24.2,MT
3,1950,29.7,NE
3,1950,37.8,NV
3,1950,19.7,NH
3,1950,32.8,NJ
3,1950,42.6,NM
3,1950,22.2,NY
3,1950,46.2,NC
3,1950,13.1,ND
3,1950,32.6,OH
3,1950,46.3,OK
3,1950,34.4,OR
3,1950,29.1,PA
3,1950,29.4,RI
3,1950,50.8,SC
3,1950,20.9,SD
3,1950,44.6,TN
3,1950,54.4,TX
3,1950,34.0,UT
3,1950,17.8,VT
3,1950,40.2,VA
3,1950,33.0,WA
3,1950,36.2,WV
3,1950,18.8,WI
3,1950,26.6,WY
4,1950,55.7,AL
4,1950,55.4,AZ
4,1950,53.2,AR
4,1950,52.4,CA
4,1950,38.1,CO
4,1950,37.2,CT
4,1950,44.3,DE
4,1950,64.4,FL
4,1950,55.8,GA
4,1950,35.0,ID
4,1950,40.9,IL
4,1950,40.4,IN
4,1950,35.6,IA
4,1950,45.4,KS
4,1950,46.6,KY
4,1950,60.0,LA
4,1950,29.4,ME
4,1950,43.8,MD
4,1950,36.2,MA
4,1950,29.5,MI
4,1950,25.5,MN
4,1950,56.6,MS
4,1950,45.0,MO
4,1950,30.6,MT
4,1950,37.0,NE
4,1950,43.4,NV
4,1950,31.0,NH
4,1950,40.8,NJ
4,1950,48.8,NM
4,1950,31.8,NY
4,1950,51.5,NC
4,1950,25.2,ND
4,1950,39.2,OH
4,1950,53.0,OK
4,1950,39.2,OR
4,1950,36.6,PA
4,1950,37.9,RI
4,1950,55.4,SC
4,1950,30.1,SD
4,1950,49.6,TN
4,1950,60.0,TX
4,1950,41.6,UT
4,1950,29.1,VT
4,1950,46.6,VA
4,1950,39.1,WA
4,1950,42.4,WV
4,1950,28.4,WI
4,1950,32.0,WY
5,1950,66.4,AL
5,1950,61.8,AZ
5,1950,63.8,AR
5,1950,58.6,CA
5,1950,46.2,CO
5,1950,49.2,CT
5,1950,54.7,DE
5,1950,70.8,FL
5,1950,66.4,GA
5,1950,42.6,ID
5,1950,54.6,IL
5,1950,54.0,IN
5,1950,50.2,IA
5,1950,57.1,KS
5,1950,58.6,KY
